Title and Description,Description,Updated Date,Request Type,Publisher,Keywords,Current state,Alternative Title,Creator,Time Coverage,Spatial Coverage,Language,Subjects,Update Frequency,Related Documents Titles,Related Documents URLs,Usage Considerations,Contact,Contact Email,Contact Phone,Distribution Type,Distribution Titles,Distribution URLs,Format
Health Indicator - Congenital Anomaly Rates - by Geography,"Birth Prevalence of Congenital Anomalies, expressed as per 1,000 total births by Geography","Thursday, May 30, 2013 - 07:36",,Health,"Children's Health, Congenital Anomaly, Surveillance, Population Health, Indicator, Geography",Dataset Management System: Published,,Health,"Saturday, January 1, 1983",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=287,CSV
Health Indicator - High Birth Weight Percent - by Geography,"The high birth weight percentage is the percentage of live births in a given year that are 4,000 grams or more at birth.","Thursday, May 30, 2013 - 07:37",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Geography",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=48,CSV
Health Indicator - High Birth Weight Percent - by Mother's Age,"The high birth weight percentage is the percentage of live births in a given year that are 4,000 grams or more at birth.","Thursday, May 30, 2013 - 07:39",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Mother",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=49,CSV
Health Indicator - High Birth Weight Percent - by Weight,"The high birth weight percentage is the percentage of live births in a given year that are 4,000 grams or more at birth.","Thursday, May 30, 2013 - 07:41",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Weight",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=50,CSV
Health Indicator - Infant Mortality Rates - Alberta,"Infant Mortality Rates, expressed as per 1,000 live births in Alberta.","Thursday, May 30, 2013 - 07:42",,Health,"Children's Health, Health Status, Reproductive Health, Surveillance, Population Health, Mortality",Dataset Management System: Published,,Health,"Wednesday, January 1, 1986",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=51,CSV
Health Indicator - Infant Mortality Rates - by Geography,"Infant Mortality Rates, expressed as per 1,000 live births by Geography.","Thursday, May 30, 2013 - 07:43",,Health,"Children's Health, Health Status, Reproductive Health, Surveillance, Population Health, Mortality",Dataset Management System: Published,,Health,"Wednesday, January 1, 1986",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=52,CSV
Health Indicator - Low Birth Weight Percent - by Geography,"The low birth weight percentage is the percentage of live births over a given year that are less than 2,500 grams at birth.","Thursday, May 30, 2013 - 07:44",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Geography",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=44,CSV
Health Indicator - Low Birth Weight Percent - by Mother's Age,"The low birth weight percentage is the percentage of live births over a given year that are less than 2,500 grams at birth.","Thursday, May 30, 2013 - 07:45",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Mother",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=42,CSV
Health Indicator - Low Birth Weight Percent - by Weight,"The low birth weight percentage is the percentage of live births over a given year that are less than 2,500 grams at birth.","Thursday, May 30, 2013 - 07:46",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Weight",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=43,CSV
Health Indicator - Preterm Birth Percent - by Birth Weight ,The preterm birth percentage is the percentage of live births over a given year occurring prior to 37 completed week's gestation.,"Thursday, May 30, 2013 - 07:49",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Preterm, Weight",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=168,CSV
Health Indicator - Preterm Birth Percent - by Geography ,The preterm birth percentage is the percentage of live births over a given year occurring prior to 37 completed week's gestation.,"Thursday, May 30, 2013 - 07:50",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Preterm, Geography",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=166,CSV
Health Indicator - Preterm Birth Percent - by Mother's Age,The preterm birth percentage is the percentage of live births over a given year occurring prior to 37 completed week's gestation.,"Thursday, May 30, 2013 - 07:51",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Preterm, Mother",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=167,CSV
Health Indicator - Singleton Large for Gestational Age Percent - by Geography,The singleton LGA is the percentage of singleton live births over a year that are large for gestational-age at birth.,"Thursday, May 30, 2013 - 07:52",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Singleton, Gestational Age, Geography",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=211,CSV
Health Indicator - Singleton Large for Gestational Age Percent - by Mother's Age,The singleton LGA is the percentage of singleton live births over a year that are large for gestational-age at birth.,"Thursday, May 30, 2013 - 07:54",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Singleton, Gestational Age, Mother",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=210,CSV
Health Indicator - Singleton Small for Gestational Age Percent - by Geography,The singleton SGA is the percentage of singleton live births over a given year that are small for gestational-age at birth.,"Thursday, May 30, 2013 - 07:55",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Singleton, Gestational Age, Geography",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=209,CSV
Health Indicator - Singleton Small for Gestational Age Percent - by Mother's Age,The singleton SGA is the percentage of singleton live births over a given year that are small for gestational-age at birth.,"Thursday, May 30, 2013 - 07:57",,Health,"Children's Health, Reproductive Health, Surveillance, Population Health, Singleton, Gestational Age, Mother",Dataset Management System: Published,,Health,"Monday, January 1, 1990",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=4&subCat=208,CSV
Demographic Indicator - Age-Specific Fertility Rates - Sub-Provincial,"Age-Specific Fertility Rates, expressed as per 1,000 population.","Thursday, May 30, 2013 - 08:01",,Health,"Demographics, Population, Births, Fertility, Sub Province",Dataset Management System: Published,,Health,"Saturday, January 1, 1994",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=5&subCat=66,CSV
Health Indicator - Hypertension - Age-Standardized Incidence Rate,"Age-Standardized Incidence Rates of Hypertension for Alberta and selected geographies , expressed as per 100,000 population.","Thursday, May 30, 2013 - 08:02",,Health,"Chronic Disease, Surveillance, Population Health, Hypertension, High Blood Pressure",Dataset Management System: Published,,Health,"Thursday, January 1, 1998",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=6&subCat=104,CSV
Demographic Indicator - Mean Age of Fertility,The indicator is defined as the average age at which women give birth.,"Thursday, May 30, 2013 - 08:03",,Health,"Demographics, Fertility, Mean, Age, Indicator",Dataset Management System: Published,,Health,"Saturday, January 1, 1994",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=5&subCat=1,CSV
Demographic Indicator - Median Age of Population ,"The median age of the population, a measure used to describe the process of aging in the population, is the age at which half of the population is older, and half is younger.","Thursday, May 30, 2013 - 08:04",,Health,"Demographics, Population, Median, Age,",Dataset Management System: Published,,Health,"Monday, January 1, 1996",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=5&subCat=76,CSV
Demographic Indicator - Population Estimates,Population estimates as of mid-year.,"Thursday, May 30, 2013 - 08:05",,Health,"Demographics, Population, Estimate",Dataset Management System: Published,,Health,"Saturday, January 1, 1983",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=5&subCat=63,CSV
Demographic Indicator - Total Fertility Rates,Total Fertility Rate is the number of children a woman would be expected to have if the current fertility rates prevailed throughout her childbearing years.,"Thursday, May 30, 2013 - 08:07",,Health,"Demographics, Population, Births, Fertility",Dataset Management System: Published,,Health,"Saturday, January 1, 1994",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=5&subCat=69,CSV
Health Indicator - Infant Mortality Rate by First Nations Status,"Infant Mortality Rates by First Nations status, expressed as per 1,000 live births.","Thursday, May 30, 2013 - 08:08",,Health,"Mortality, Health Status, Children's Health, Population Health, First Nations",Dataset Management System: Published,,Health,"Tuesday, January 1, 2002",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=121&subCat=247,CSV
Health Indicator - Life Expectancy at Birth by First Nations Status,Life Expectancy at Birth by First Nations Status.,"Thursday, May 30, 2013 - 08:09",,Health,"Mortality, Health Status, Population Health, First Nations, Life, Expectancy, Life Expectancy",Dataset Management System: Published,,Health,"Friday, January 1, 1999",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=121&subCat=246,CSV
Health Indicator - Mortality Rates - Age-Standardized Rates by First Nations Status (For Selected Causes of Death),Age-Standardized Mortality Rates by First Nations Status.,"Thursday, May 30, 2013 - 08:10",,Health,"Mortality, Health Status, Population Health, First Nations",Dataset Management System: Published,,Health,"Saturday, January 1, 2000",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=121&subCat=248,CSV
Health Indicator - Potential Years of Life Lost - Age-Standardized Rates by First Nations Status,"Potential Years of Life Lost (PYLL) Age-Standardized Rates by First Nations Status, expressed as per 100,000 population.","Thursday, May 30, 2013 - 08:12",,Health,"Mortality, Health Status, Population Health, First Nations, Premature Mortality,",Dataset Management System: Published,,Health,"Saturday, January 1, 2000",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=121&subCat=326,CSV
Health Indicator - Age-Sex Specific Emergency Visit Rate - Select Conditions ,"Age-Sex Specific rates of emergency visits for Alberta expressed as per 100,000 population. The rates are available for select conditions.","Thursday, May 30, 2013 - 08:18",,Health,"Surveillance, Health Service Utilization; Emergency, Visits, ER",Dataset Management System: Published,,Health,"Wednesday, January 1, 2003",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=122&subCat=447,CSV
Health Indicator - Age-Sex Specific Separation Rate - Mental Health Conditions,"Age-Sex Specific rates of inpatient separations for Alberta expressed as per 100,000 population. The rates are available for select mental health conditions.","Thursday, May 30, 2013 - 08:19",,Health,"Surveillance, Health Service Utilization, Mental, Health",Dataset Management System: Published,,Health,"Wednesday, January 1, 2003",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=122&subCat=426,CSV
Health Indicator - Age-Sex Specific Separation Rate - Respiratory Disease,"Age-Sex Specific rates of inpatient separations for Alberta expressed as per 100,000 population. The rates are available for select respiratory diseases.","Thursday, May 30, 2013 - 08:21",,Health,"Surveillance, Health Service Utilization, Respiratory, Disease, Separation Rate",Dataset Management System: Published,,Health,"Wednesday, January 1, 2003",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=122&subCat=427,CSV
Health Indicator - Age-Sex Specific Separation Rate - Select Conditions,"Age-Sex Specific rates of inpatient separations for Alberta expressed as per 100,000 population. The rates are available for select conditions.","Thursday, May 30, 2013 - 08:21",,Health,"Surveillance, Health Service Utilization, Separation Rate",Dataset Management System: Published,,Health,"Wednesday, January 1, 2003",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=122&subCat=252,CSV
Health Indicator - Age - Standardized Emergency Visit Rate - Select Conditions ,"Age-standardized emergency room visit (ER) rates for selected geographies, expressed as per 100,000 population.","Thursday, May 30, 2013 - 08:22",,Health,"Surveillance, Health Service Utilization, Emergency, Visits, ER",Dataset Management System: Published,,Health,"Tuesday, December 31, 2002 - 17:00",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=122&subCat=446,CSV
Health Indicator - Age - Standardized Separation Rate - Select Conditions ,"Age-standardized inpatient separation rates for Alberta and Alberta Health Services (AHS) Continuum Zones, expressed as per 100,000 population.","Thursday, May 30, 2013 - 08:59",,Health,"Surveillance, Health Service Utilization, Separation Rate",Dataset Management System: Published,,Health,"Wednesday, January 1, 2003",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=122&subCat=428,CSV
Alberta Irrigation Information,Alberta Irrigation Information: Facts and Figures providing an overview of irrigation information in Alberta,"Tuesday, August 6, 2013 - 08:33",Create,Agriculture and Rural Development,"Alberta, Irrigation, Irrigation Districts",Dataset Management System: Saved (unsubmitted),,Agriculture and Rural Development,,Southern Alberta,English,Agriculture,Annually,Alberta Irrigation Information 2012Alberta Irrigation Information 2012 (pdf),http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/irr7401http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/irr7401/$FILE/altairriginfo2012.pdf,,Bob Winter,bob.winter@gov.ab.ca,403 382-4424,Download,Acres actually irrigated within the 13 irrigation districts (1915 - 2012),/sites/default/files/datasets/2012%20Table%205%20Acres%20Actually%20Irrigated.csv,CSV
Health Indicator - Childhood Coverage Rates 2004 to 2008 (Aggregate),Childhood Immunization Coverage Rates,"Thursday, May 30, 2013 - 09:00",,Health,"Immunization, Coverage Rates, Surveillance, Child, Childhood",Dataset Management System: Published,,Health,"Thursday, January 1, 2004",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=24&subCat=130,CSV
Health Indicator - Notifiable Disease - Age-Sex Specific Incidence Rate,"Age-Sex Specific Incidence Rates for selected notifiable diseases  for Alberta and five Alberta Health Services (AHS) Continuum Zones expressed as per 100,000 population.","Thursday, May 30, 2013 - 09:01",,Health,"Infectious Disease, Communicable Disease, Notifiable Disease,  Surveillance, Disease",Dataset Management System: Published,,Health,"Saturday, January 1, 2000",,English,Health and Safety,Annually,,,"The Distribution URL takes the user to the Interactive Health Data Application (IHDA) criteria selection screen for this catalogued data set. The results set can be narrowed by filtering on the criteria provided (e.g. geography, sex, year). The results are displayed in a table form and can be exported. Metadata information for the data set is available as a pdf file and can be viewed by selecting the ""View Data Notes"" link.",Alberta Health Interactive Health Data Application Team,IHDT@gov.ab.ca,,Link,,http://www.ahw.gov.ab.ca/IHDA_Retrieval/redirectToURL.do?cat=81&subCat=369,CSV
